from,to,comment
"(Sonstiges, weiss)",Misc,Pool der sonstigen Klassen
"(Sonstiges, rot/weiss)",Misc,Pool der sonstigen Klassen
"(Sonstiges, rot/blau)",Misc,Pool der sonstigen Klassen
"(Sonstiges, blau)",Misc,Pool der sonstigen Klassen
"(Sonstiges, gelb)",Misc,Pool der sonstigen Klassen
"(Sonstiges, gruen)",Misc green,Pool der sonstigen Klassen
"(Sonstiges, braun)",Misc brown,Pool der sonstigen Klassen
"Vorfahrt",VZ 306,Eigentlich Vorfahrtstraße
"Zusatzschild",VZ 1000,Eigentlich Zusatzzeichen; generischer Pool
"5 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-5,
"10 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-10,
"20 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-20,
"30 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-30,
"40 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-40,
"50 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-50,
"60 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-60,
"70 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-70,
"80 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-80,
"90 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-90,
"100 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-100,
"110 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-110,
"120 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-120,
"130 km/h, Beginn - Hoechstgeschwindigkeit",VZ 274-130,
"5 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-5,
"10 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-10,
"20 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-20,
"30 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-30,
"40 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-40,
"50 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-50,
"60 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-60,
"70 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-70,
"80 km/h, Beginn - Mindestgeschwindigkeit",VZ 275-80,
"5 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-5,
"10 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-10,
"20 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-20,
"30 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-30,
"40 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-40,
"50 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-50,
"60 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-60,
"70 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-70,
"80 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-80,
"90 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-90,
"100 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-100,
"110 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-110,
"120 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-120,
"130 km/h, Ende - Hoechstgeschwindigkeit",VZ 278-130,
"5 km/h, Ende - Mindestgeschwindigkeit",VZ 279-5,
"10 km/h, Ende - Mindestgeschwindigkeit",VZ 279-10,
"20 km/h, Ende - Mindestgeschwindigkeit",VZ 279-20,
"30 km/h, Ende - Mindestgeschwindigkeit",VZ 279-30,
"40 km/h, Ende - Mindestgeschwindigkeit",VZ 279-40,
"50 km/h, Ende - Mindestgeschwindigkeit",VZ 279-50,
"60 km/h, Ende - Mindestgeschwindigkeit",VZ 279-60,
"70 km/h, Ende - Mindestgeschwindigkeit",VZ 279-70,
