filename,width,height,class,xmin,ymin,xmax,ymax
15282.png,1920,1080,"(Sonstiges, gelb)",1022,528,1117,629
15281.png,1920,1080,"(Sonstiges, blau)",296,483,405,576
15280.png,1920,1080,Vorfahrt,1130,568,1144,581
15280.png,1920,1080,"(Sonstiges, gelb)",1129,553,1141,568
15280.png,1920,1080,"(Sonstiges, rot/blau)",990,588,1004,604
15280.png,1920,1080,"(Sonstiges, weiss)",1339,476,1371,518
15279.png,1920,1080,"(Sonstiges, gruen)",1213,585,1287,602
15278.png,1920,1080,"(Sonstiges, blau)",956,391,1122,530
15278.png,1920,1080,"(Sonstiges, blau)",764,374,939,522
15278.png,1920,1080,"(Sonstiges, blau)",1114,587,1139,627
15277.png,1920,1080,"(Sonstiges, gelb)",934,524,967,547
15277.png,1920,1080,"(Sonstiges, gelb)",843,528,907,549
15277.png,1920,1080,"(Sonstiges, gelb)",783,529,815,552
15276.png,1920,1080,Gefahrenzeichen,1422,656,1472,698
15275.png,1920,1080,"(Sonstiges, blau)",814,584,873,608
15274.png,1920,1080,"(Sonstiges, gelb)",1262,548,1389,577
15274.png,1920,1080,"(Sonstiges, gelb)",1262,590,1391,619
15274.png,1920,1080,"(Sonstiges, gelb)",1554,253,1698,412
15273.png,1280,720,"(Sonstiges, blau)",608,373,634,389
15273.png,1280,720,"(Sonstiges, blau)",638,394,644,409
15272.png,1280,720,"(Sonstiges, blau)",653,345,666,360
15272.png,1280,720,Zusatzschild,655,360,668,376
15271.png,1920,1080,Ortseingangsschild,1447,420,1562,498
15271.png,1920,1080,"(Sonstiges, gelb)",290,447,384,512
15270.png,1920,1080,"(Sonstiges, rot/weiss)",1530,467,1609,547
15270.png,1920,1080,Zusatzschild,1544,543,1603,573
15270.png,1920,1080,Gefahrenzeichen,1408,647,1443,677
15270.png,1920,1080,"(Sonstiges, weiss)",1228,682,1237,702
15269.png,1920,1080,Vorfahrt,1091,549,1131,588
15269.png,1920,1080,"Kraftfahrstrasse, Beginn",914,605,929,618
15269.png,1920,1080,"(Sonstiges, rot/weiss)",1616,573,1660,612
15268.png,1920,1080,"(Sonstiges, weiss)",1574,301,1859,344
15268.png,1920,1080,"(Sonstiges, gelb)",1574,343,1864,514
15268.png,1920,1080,Vorfahrt,1324,380,1391,443
15267.png,1920,1080,"(Sonstiges, gelb)",1046,679,1077,698
15265.png,1280,720,"(Sonstiges, blau)",684,334,713,361
15265.png,1280,720,"(Sonstiges, blau)",546,261,575,288
15265.png,1280,720,"(Sonstiges, blau)",368,347,395,373
15264.png,1920,1080,Kurve (links),760,683,783,703
15264.png,1920,1080,"(Sonstiges, rot/weiss)",762,702,779,716
15263.png,1920,1080,Vorfahrt,980,553,1002,576
15262.png,1920,1080,"50 km/h, Beginn - Hoechstgeschwindigkeit",31,380,114,462
15262.png,1920,1080,"(Sonstiges, blau)",1558,403,1621,467
15262.png,1920,1080,"(Sonstiges, rot/weiss)",1215,361,1292,445
15261.png,1280,720,"(Sonstiges, weiss)",703,367,730,408
15261.png,1280,720,"(Sonstiges, weiss)",437,363,466,404
15260.png,1920,1080,"Doppelkurve (zunaechst rechts)",1176,443,1256,511
15260.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",1188,513,1246,561
15260.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",341,543,407,597
15260.png,1920,1080,"Doppelkurve (zunaechst rechts)",338,483,418,540
15259.png,1920,1080,"(Sonstiges, blau)",1202,401,1276,478
15259.png,1920,1080,Vorfahrt,1181,292,1282,394
15259.png,1920,1080,"(Sonstiges, blau)",602,532,649,577
15259.png,1920,1080,"(Sonstiges, gelb)",769,553,814,588
15259.png,1920,1080,"(Sonstiges, weiss)",1026,522,1096,544
15258.png,1920,1080,Ende saemtlicher Streckenverbote,1097,535,1127,564
